type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
single_family,2024,3,3,2,1,2,3049,1464,2,05-31-18,437990,for_sale
condos,1985,2,2,1,1,2,436,960,2,11-28-07,300000,for_sale
single_family,2024,3,3,2,1,2,3049,1953,3,05-31-18,497990,for_sale
mobile,1971,3,2,2,1,2,13939,1440,1,05-31-18,15000,for_sale
single_family,2003,4,3,2,1,2,13939,3669,2,05-31-18,749900,for_sale
single_family,1990,4,2,2,1,2,83635,1996,2,05-31-18,500000,for_sale
single_family,2022,3,3,2,1,2,3920,1495,2,05-31-18,390000,for_sale
townhomes,2003,3,2,2,1,2,13939,1399,2,05-31-18,414990,for_sale
single_family,2022,3,3,3,1,2,3920,1495,2,05-31-18,390000,for_sale
single_family,2003,3,3,2,1,2,13939,1547,2,05-31-18,444990,for_sale
single_family,2011,6,4,3,1,5,17860,5076,2,05-31-18,1468000,for_sale
single_family,2009,4,2,2,1,2,13068,3728,2,05-31-18,565000,for_sale
single_family,2003,5,4,3,1,2,13939,2646,2,05-31-18,624990,for_sale
single_family,2003,2,3,2,1,2,13939,3546,1,05-31-18,649990,for_sale
single_family,1985,3,2,1,1,2,15682,2290,2,05-31-18,349900,for_sale
single_family,2003,3,2,2,1,2,13939,1848,1,05-31-18,479990,for_sale
single_family,2024,3,3,3,1,2,3049,1889,2,05-31-18,529990,for_sale
single_family,2003,3,3,3,1,2,13939,2230,1,05-31-18,679990,for_sale
land,2003,4,0,2,1,2,21780,2400,2,05-31-18,25000,for_sale
land,2003,4,0,2,1,2,6098,2400,2,05-31-18,35000,for_sale
land,2003,4,0,2,1,2,13939,2400,2,05-31-18,20000,for_sale
land,2003,4,0,2,1,2,23087,2400,2,05-31-18,249000,for_sale
land,2003,4,0,2,1,2,14375,2400,2,05-31-18,385000,for_sale
land,2003,4,0,2,1,2,23522,2400,2,05-31-18,160000,for_sale
land,2003,4,0,2,1,2,21344,2400,2,05-31-18,47500,for_sale
single_family,2010,6,14,6,6,8,6795360,2400,3,05-31-18,15500000,for_sale
land,2003,4,0,2,1,2,21780,2400,2,05-31-18,75000,for_sale
land,2003,4,0,2,1,2,43560,2400,2,05-31-18,220000,for_sale
land,2003,4,0,2,1,2,21344,2400,2,05-31-18,47500,for_sale
land,2003,4,0,2,1,2,202118,2400,2,02-01-21,155000,for_sale
land,2003,4,0,2,1,2,7405,2400,2,05-31-18,99000,for_sale
land,2003,4,0,2,1,2,1742400,2400,2,05-31-18,30000,for_sale
land,2003,4,0,2,1,2,1669655,2400,2,05-31-18,40000,for_sale
land,2003,4,0,2,1,2,578912,2400,2,05-31-18,1595000,for_sale
land,2003,4,0,2,1,2,444312,2400,2,05-31-18,265000,for_sale
single_family,2022,2,1,1,1,2,230432,819,2,05-31-18,125000,for_sale
land,2003,4,0,2,1,2,50965,2400,2,05-31-18,600000,for_sale
land,2003,4,0,2,1,2,17860,2400,2,05-31-18,155000,for_sale
land,2003,4,0,2,1,2,76230,2400,2,05-31-18,475000,for_sale
land,2003,4,0,2,1,2,10454400,2400,2,05-31-18,96000,for_sale
land,2003,4,0,2,1,2,13939200,2400,2,05-31-18,288000,for_sale
land,2003,4,0,2,1,2,1742400,2400,2,05-31-18,16000,for_sale
townhomes,1997,2,2,1,1,2,436,1070,2,06-17-21,314900,for_sale
land,2003,4,0,2,1,2,17860,2400,2,05-31-18,155000,for_sale
single_family,2003,5,3,3,1,2,13939,2400,1,05-31-18,699990,for_sale
single_family,2019,3,3,3,1,2,3485,1495,2,05-31-18,390000,for_sale
land,2003,4,0,2,1,2,23087,2400,2,05-31-18,249000,for_sale
single_family,2003,4,3,2,1,3,13939,3733,2,05-31-18,589990,for_sale
condos,2024,2,2,2,1,1,436,1159,1,05-31-18,2100000,for_sale
single_family,2003,4,2,2,1,3,13939,3791,1,05-31-18,569990,for_sale
land,2003,4,0,2,1,2,217800,2400,2,05-31-18,420000,for_sale
single_family,2003,3,2,2,1,2,13939,1498,2,05-31-18,374900,for_sale
townhomes,2024,3,3,2,1,2,436,1570,3,05-31-18,448900,for_sale
single_family,1958,4,3,3,1,2,14810,2897,2,11-09-21,370000,for_sale
single_family,2024,4,3,3,1,3,13939,2419,1,05-31-18,835000,for_sale
single_family,1902,4,3,1,1,1,12197,2566,2,06-29-16,375000,for_sale
single_family,2000,3,2,2,1,2,38333,2135,2,05-31-18,559000,for_sale
single_family,2024,5,3,2,1,4,10019,2962,2,05-31-18,602430,for_sale
single_family,1998,4,3,3,1,2,280091,2800,2,05-31-18,779000,for_sale
single_family,2003,3,3,2,1,2,13939,1949,1,05-31-18,569619,for_sale
land,2003,4,0,2,1,2,435600,2400,2,05-31-18,69000,for_sale
single_family,1923,3,3,1,1,2,12197,1571,2,06-05-09,400000,for_sale
single_family,2017,4,4,3,1,3,20909,4963,3,05-31-18,774900,for_sale
mobile,1971,2,2,2,1,2,436,1300,1,05-31-18,59999,for_sale
single_family,2003,3,3,2,1,2,13939,2227,2,05-31-18,449300,for_sale
single_family,1994,5,3,1,1,2,43560,3835,2,04-23-21,775000,for_sale
single_family,2006,3,2,2,1,2,8276,1809,1,01-20-12,525000,for_sale
single_family,2003,3,3,2,1,2,13939,1808,1,05-31-18,585000,for_sale
single_family,2022,6,7,7,1,6,2139232,12377,2,05-31-18,19850000,for_sale
single_family,2013,5,4,3,1,7,55757,3170,3,05-31-18,639000,for_sale
single_family,2013,6,4,3,1,5,2371406,4312,2,05-31-18,1200000,for_sale
single_family,2024,4,3,3,1,3,14810,4566,2,05-31-18,809900,for_sale
single_family,2003,3,2,2,1,2,13939,2318,1,05-31-18,499845,for_sale
single_family,2010,5,3,3,1,2,11326,2954,2,08-25-21,520000,for_sale
single_family,2024,4,3,3,1,3,24394,2600,2,02-05-16,849900,for_sale
single_family,2003,3,3,3,1,2,13939,0,2,05-31-18,529990,for_sale
single_family,2003,3,3,2,1,2,13939,1983,1,05-31-18,668635,for_sale
single_family,2003,3,2,2,1,2,13939,1455,1,05-31-18,479990,for_sale
single_family,2003,4,3,2,1,2,13939,2173,2,05-31-18,701597,for_sale
single_family,2024,5,4,3,1,2,7405,5120,3,05-31-18,988900,for_sale
single_family,2003,5,4,3,1,2,13939,2979,2,05-31-18,811478,for_sale
other,2003,3,3,3,1,2,13939,2449,2,05-31-18,620000,for_sale
